0.0rH ;49.0rH ;000.51°C ;22.38 hPa ;0.1; 82.1 -020.95°C ;825.58 hPa ; 021.25°C ;999.74 hPa ;0A 0.00 ;-0.00 ;0.99 ;-0.06 ;
G -0.18 ;-0.24 ;-7.0.0rH ;47.0rH ;000.50°C ;23.58 hPa ;-0.1; 82.2-021.09°C ;825.53 hPa ; 021.75°C ;999.74 hPa ;0A 0.00 ;0.00 ;0.99 ;-0.37 ;
G 0.06 ;0.00 ;-6.9 ;0.0rH ;47.0rH ;000.50°C ;23.62 hPa ;-0.4; 83.1-021.09°C ;825.55 hPa ; 021.75°C ;999.79 hPa ;0A 0.00 ;-0.00 ;0.99 ;-0.18 ;
G -0.12 ;0.06 ;-8.10.0rH ;47.0rH ;000.50°C ;23.62 hPa ;-0.2; 82.9-021.09°C ;825.61 hPa ; 021.89°C ;999.74 hPa ;0A -0.00 ;0.00 ;1.00 ;-0.12 ;
G -0.06 ;-0.12 ;-7.0.0rH ;47.0rH ;000.49°C ;23.60 hPa ;-0.1; 83.4-021.11°C ;825.58 hPa ; 021.90°C ;999.76 hPa ;0A -0.00 ;-0.00 ;1.00 ;-0.30 ;
G -0.06 ;0.06 ;-6.0.0rH ;47.0rH ;000.49°C ;23.63 hPa ;-0.3; 83.1-021.11°C ;825.52 hPa ; 021.92°C ;999.73 hPa ;0A -0.00 ;0.00 ;1.00 ;0.00 ;
G -0.24 ;-0.12 ;-8.60.0rH ;47.0rH ;000.49°C ;23.67 hPa ;0.0; 83.4 -021.12°C ;825.55 hPa ; 021.82°C ;999.74 hPa ;0A -0.00 ;0.00 ;0.99 ;-0.37 ;
G 0.06 ;-0.30 ;-5.70.0rH ;47.0rH ;000.49°C ;23.70 hPa ;-0.4; 82.1-021.12°C ;825.57 hPa ; 021.84°C ;999.79 hPa ;0A -0.00 ;0.00 ;1.00 ;0.00 ;
G -0.06 ;-0.37 ;-7.90.0rH ;47.0rH ;000.49°C ;23.73 hPa ;0.0; 83.4 -021.12°C ;825.52 hPa ; 021.85°C ;999.82 hPa ;0A 0.00 ;0.00 ;1.00 ;-0.30 ;
G 0.06 ;-0.24 ;-6.4 0.0rH ;47.0rH ;000.49°C ;23.75 hPa ;-0.3; 82.8-021.12°C ;825.55 hPa ; 021.86°C ;999.82 hPa ;0A -0.00 ;-0.00 ;1.00 ;-0.18 ;
G -0.18 ;-0.18 ;-60.0rH ;47.0rH ;000.49°C ;23.78 hPa ;-0.2; 82.3-021.12°C ;825.55 hPa ; 021.87°C ;999.71 hPa ;0A 0.00 ;-0.00 ;1.00 ;-0.12 ;
G -0.18 ;-0.12 ;-5.0.0rH ;47.0rH ;000.49°C ;23.80 hPa ;-0.1; 82.5-021.12°C ;825.52 hPa ; 021.88°C ;999.74 hPa ;0A 0.01 ;0.00 ;0.99 ;-0.12 ;
G -0.06 ;0.06 ;-6.9 0.0rH ;47.0rH ;000.49°C ;23.82 hPa ;-0.1; 83.8-021.14°C ;825.52 hPa ; 021.90°C ;999.68 hPa ;0A -0.01 ;0.00 ;0.99 ;-0.12 ;
G 0.00 ;0.00 ;-5.2 0.0rH ;47.0rH ;000.49°C ;23.82 hPa ;-0.1; 83.2-021.17°C ;825.46 hPa ; 021.90°C ;999.76 hPa ;0A -0.00 ;0.00 ;0.99 ;0.12 ;
G -0.06 ;-0.06 ;-6.30.0rH ;47.0rH ;000.49°C ;23.83 hPa ;0.1; 83.7 -021.17°C ;825.48 hPa ; 021.91°C ;999.79 hPa ;0A 0.00 ;0.00 ;0.99 ;-0.24 ;
G -0.18 ;-0.37 ;-5.40.0rH ;47.0rH ;000.49°C ;23.85 hPa ;-0.2; 83.1-021.16°C ;825.54 hPa ; 021.93°C ;999.76 hPa ;0A -0.00 ;-0.00 ;0.98 ;0.06 ;
G 0.12 ;-0.43 ;-6.6
